ANTLR4 , 518 ,507,97.88%, 585 ,428,73.16%, 3705 ,1283,34.63%, 11908 ,1122,9.42%
DBeaver , 4742 ,4726,99.66%, 5565 ,3999,71.86%, 36469 ,5565,15.26%, 73292 ,5042,6.88%
Elasticsearch , 14234 ,14066,98.82%, 18995 ,10825,56.99%, 114135 ,27447,24.05%, 403576 ,22336,5.53%
ExoPlayer , 1493 ,1399,93.70%, 2355 ,2158,91.63%, 18496 ,10562,57.10%, 65972 ,10897,16.52%
FastJSON , 3121 ,1051,33.68%, 5685 ,1118,19.67%, 20187 ,1287,6.38%, 49950 ,1327,2.66%
Flink , 13198 ,13075,99.07%, 20363 ,16473,80.90%, 100994 ,28092,27.82%, 284028 ,22053,7.76%
Guava , 3039 ,1498,49.29%, 6850 ,2313,33.77%, 49181 ,8344,16.97%, 131166 ,8262,6.30%
Jenkins , 1716 ,1624,94.64%, 3299 ,2142,64.93%, 15361 ,6637,43.21%, 46292 ,4354,9.41%
LibGDX , 2317 ,2198,94.86%, 3033 ,2143,70.66%, 41115 ,7282,17.71%, 73596 ,2860,3.89%
Logstash , 523 ,505,96.56%, 681 ,446,65.49%, 3575 ,809,22.63%, 9534 ,566,5.94%
Mockito , 957 ,897,93.73%, 1682 ,656,39.00%, 5728 ,1632,28.49%, 13054 ,1816,13.91%
OpenRefine , 1031 ,935,90.69%, 1207 ,554,45.90%, 5261 ,1328,25.24%, 16294 ,1081,6.63%
Presto , 7964 ,7877,98.91%, 10014 ,3675,36.70%, 67558 ,8423,12.47%, 187289 ,12178,6.50%
Quarkus , 13052 ,5668,43.43%, 17114 ,6412,37.47%, 59449 ,11355,19.10%, 132744 ,8580,6.46%
QuestDB , 2537 ,2453,96.69%, 3492 ,1036,29.67%, 30736 ,3202,10.42%, 61911 ,4162,6.72%
Redisson , 2151 ,1378,64.06%, 2424 ,1220,50.33%, 24849 ,4790,19.28%, 59711 ,589,0.99%
RxJava , 1883 ,1857,98.62%, 3008 ,1162,38.63%, 22116 ,3858,17.44%, 72073 ,2162,3.00%
Tink , 634 ,631,99.53%, 853 ,737,86.40%, 5226 ,2038,39.00%, 20943 ,1769,8.45%
\textbf{Total} , 75110 ,62345,83.00%, 107205 ,57497,53.63%, 624141 ,133934,21.46%, 1713333 ,111156,6.49%
